Size,Time,Battery,RAM,DownloadBandwidth,UploadBandwidth,NetworkType
714093,305901,1,3.739029504,101.907125,96.81175,WiFi
711117,314978,3,3.928154112,101.907125,96.81175,WiFi
700189,314574,1,3.835387904,101.907125,96.81175,WiFi
704080,294206,1,3.86347008,101.907125,96.81175,WiFi
706736,305395,2,3.867643904,101.907125,96.81175,WiFi
703351,311407,1,3.91868416,101.907125,96.81175,WiFi
707867,320215,1,3.874598912,101.907125,96.81175,WiFi
705643,301438,1,3.835035648,101.907125,96.81175,WiFi
698561,297041,1,3.811651584,101.907125,96.81175,WiFi
699608,302405,1,3.896733696,101.907125,96.81175,WiFi
362065,165307,1,3.865985024,101.907125,96.81175,WiFi
348630,135884,1,3.870457856,101.907125,96.81175,WiFi
352073,139910,0,3.836268544,101.907125,96.81175,WiFi
351564,146275,1,3.866529792,101.907125,96.81175,WiFi
354755,147798,0,3.912241152,101.907125,96.81175,WiFi
343449,155984,1,3.986317312,101.907125,96.81175,WiFi
362519,155954,0,3.941101568,101.907125,96.81175,WiFi
357778,166441,1,3.795042304,101.907125,96.81175,WiFi
354276,151631,0,3.86545664,101.907125,96.81175,WiFi
354441,148891,1,3.927707648,101.907125,96.81175,WiFi
1068572,458614,3,3.885191168,108.25,108.25,WiFi
1070379,464636,1,3.870564352,108.25,108.25,WiFi
1054349,434750,2,3.911286784,108.25,108.25,WiFi
1062917,444752,2,3.926257664,108.25,108.25,WiFi
1065848,467479,2,3.8086656,108.25,108.25,WiFi
1062230,445256,2,3.808251904,108.25,108.25,WiFi
1074553,475607,2,3.822559232,108.25,108.25,WiFi
1063037,471545,1,3.815038976,101.907125,96.81175,WiFi
1064564,451111,2,3.900297216,101.907125,96.81175,WiFi
1065341,446668,2,3.59112704,101.907125,96.81175,WiFi
429843,200081,1,3.769696256,101.907125,96.81175,WiFi
421538,180100,1,3.846258688,101.907125,96.81175,WiFi
434093,185597,1,3.721961472,101.907125,96.81175,WiFi
422972,185863,0,3.785474048,101.907125,96.81175,WiFi
424371,196729,1,3.706601472,101.907125,96.81175,WiFi
422068,191683,1,3.774251008,101.907125,96.81175,WiFi
433282,192396,0,3.724361728,101.907125,96.81175,WiFi
429046,185236,1,3.742359552,101.907125,96.81175,WiFi
425945,173342,1,3.848372224,101.907125,96.81175,WiFi
416748,166554,1,3.807588352,101.907125,96.81175,WiFi
980653,433061,2,3.812327424,101.907125,96.81175,WiFi
986764,425442,1,3.7991424,101.907125,96.81175,WiFi
992580,445664,2,3.8100992,101.907125,96.81175,WiFi
990421,431584,2,3.901018112,101.907125,96.81175,WiFi
986612,412787,2,3.892547584,101.907125,96.81175,WiFi
994936,439073,2,3.895660544,101.907125,96.81175,WiFi
987584,453717,1,3.944357888,101.907125,96.81175,WiFi
991381,425455,2,3.963461632,101.907125,96.81175,WiFi
995522,453912,2,3.926298624,101.907125,96.81175,WiFi
998694,456369,2,3.827675136,101.907125,96.81175,WiFi
509688,221607,1,3.943821312,101.907125,96.81175,WiFi
499231,213437,1,4.004204544,101.907125,96.81175,WiFi
